page,statement,demand_no,ministry_department,expenditure_category,category_number,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,BE_2023_24_revenue,BE_2023_24_capital,BE_2023_24_total,RE_2023_24_revenue,RE_2023_24_capital,RE_2023_24_total,BE_2024_25_revenue,BE_2024_25_capital,BE_2024_25_total
23,Statement 3,87,Department of Rural Development,Other Central Sector Expenditure,4.0,category,-8.21,,-8.21,115.00,,115.00,91.38,,91.38,10.84,,10.84
23,Statement 3,88,Department of Land Resources,,,ministry_total,1002.32,,1002.32,2417.97,1.26,2419.23,1896.78,1.26,1898.04,2666.23,1.01,2667.24
23,Statement 3,88,Department of Land Resources,Central Sector Schemes/Projects,1.0,category,239.25,,239.25,195.75,,195.75,125.00,,125.00,141.00,,141.00
23,Statement 3,88,Department of Land Resources,Centrally Sponsored Schemes,2.0,category,742.89,,742.89,2200.00,,2200.00,1750.00,,1750.00,2501.00,,2501.00
23,Statement 3,88,Department of Land Resources,Establishment Expenditure of the Centre,3.0,category,20.18,,20.18,22.22,1.26,23.48,21.78,1.26,23.04,24.23,1.01,25.24
23,Statement 3,89,Department of Science and Technology,,,ministry_total,4396.23,40.03,4436.26,7842.75,88.30,7931.05,4850.39,41.39,4891.78,7964.51,64.50,8029.01
23,Statement 3,89,Department of Science and Technology,Central Sector Schemes/Projects,1.0,category,1790.65,,1790.65,2777.00,,2777.00,1340.00,,1340.00,2819.07,,2819.07
23,Statement 3,89,Department of Science and Technology,Establishment Expenditure of the Centre,2.0,category,579.41,40.03,619.44,602.75,88.30,691.05,574.29,41.39,615.68,630.24,64.50,694.74
23,Statement 3,89,Department of Science and Technology,Other Central Sector Expenditure,3.0,category,2026.17,,2026.17,4463.00,,4463.00,2936.10,,2936.10,4515.20,,4515.20
23,Statement 3,90,Department of Biotechnology,,,ministry_total,2044.74,,2044.74,2683.86,,2683.86,1607.32,,1607.32,2275.70,,2275.70
23,Statement 3,90,Department of Biotechnology,Central Sector Schemes/Projects,1.0,category,1207.41,,1207.41,1645.00,,1645.00,550.00,,550.00,1174.00,,1174.00
24,Statement 3,90,Department of Biotechnology,Establishment Expenditure of the Centre,2.0,category,32.74,,32.74,46.39,,46.39,44.25,,44.25,71.04,,71.04
24,Statement 3,90,Department of Biotechnology,Other Central Sector Expenditure,3.0,category,804.59,,804.59,992.47,,992.47,1013.07,,1013.07,1030.66,,1030.66
24,Statement 3,91,Department of Scientific and Industrial Research,,,ministry_total,5850.64,1.50,5852.14,5737.05,9.46,5746.51,6189.51,13.02,6202.53,6321.71,1.70,6323.41
