page,statement,demand_no,ministry_department,expenditure_category,category_number,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,BE_2023_24_revenue,BE_2023_24_capital,BE_2023_24_total,RE_2023_24_revenue,RE_2023_24_capital,RE_2023_24_total,BE_2024_25_revenue,BE_2024_25_capital,BE_2024_25_total
18,Statement 3,50,Cabinet,Establishment Expenditure of the Centre,1.0,category,961.13,94.78,1055.91,969.18,289.50,1258.68,1251.67,551.34,1803.01,1152.68,96.23,1248.91
18,Statement 3,51,Police,,,ministry_total,107434.11,8206.01,115640.12,115946.87,11809.87,127756.74,116390.79,10045.03,126435.82,129934.30,13341.60,143275.90
18,Statement 3,51,Police,Central Sector Schemes/Projects,1.0,category,887.74,5403.84,6291.58,1889.27,7058.12,8947.39,2127.93,5362.50,7490.43,2252.44,7052.99,9305.43
18,Statement 3,51,Police,Centrally Sponsored Schemes,2.0,category,3098.85,,3098.85,4350.00,,4350.00,3388.94,,3388.94,5105.13,,5105.13
18,Statement 3,51,Police,Establishment Expenditure of the Centre,3.0,category,102430.43,1783.65,104214.08,108327.60,3750.75,112078.35,108617.94,3823.53,112441.47,120350.53,5037.61,125388.14
18,Statement 3,51,Police,Other Central Sector Expenditure,4.0,category,1235.23,1028.46,2263.69,1380.00,1001.00,2381.00,2255.98,859.00,3114.98,2226.20,1251.00,3477.20
18,Statement 3,51,Police,Other Grants/Loans/Transfers,5.0,category,-218.14,-9.94,-228.08,,,,,,,,,
18,Statement 3,52,Andaman and Nicobar Islands,,,ministry_total,5032.20,470.53,5502.73,5481.96,505.18,5987.14,5446.79,490.63,5937.42,5518.69,467.13,5985.82
18,Statement 3,52,Andaman and Nicobar Islands,Establishment Expenditure of the Centre,1.0,category,2494.93,1.18,2496.11,2646.37,0.13,2646.50,2852.59,0.75,2853.34,2897.46,0.28,2897.74
18,Statement 3,52,Andaman and Nicobar Islands,Other Central Sector Expenditure,2.0,category,2537.27,469.35,3006.62,2835.59,505.05,3340.64,2594.20,489.88,3084.08,2621.23,466.85,3088.08
18,Statement 3,53,Chandigarh,,,ministry_total,4770.98,240.03,5011.01,4834.07,602.03,5436.10,5429.42,388.03,5817.45,5327.62,535.00,5862.62
18,Statement 3,53,Chandigarh,Establishment Expenditure of the Centre,1.0,category,2967.92,,2967.92,2867.16,,2867.16,3218.80,,3218.80,3287.77,,3287.77
18,Statement 3,53,Chandigarh,Other Central Sector Expenditure,2.0,category,1803.06,240.03,2043.09,1966.91,602.03,2568.94,2210.62,388.03,2598.65,2039.85,535.00,2574.85
18,Statement 3,54,Dadra and Nagar Haveli and Daman and Diu,,,ministry_total,1545.21,929.10,2474.31,1526.86,948.14,2475.00,1588.47,948.14,2536.61,1632.71,1016.26,2648.97
18,Statement 3,54,Dadra and Nagar Haveli and Daman and Diu,Establishment Expenditure of the Centre,1.0,category,670.67,,670.67,732.87,,732.87,757.87,,757.87,801.71,,801.71
18,Statement 3,54,Dadra and Nagar Haveli and Daman and Diu,Other Central Sector Expenditure,2.0,category,874.54,929.10,1803.64,793.99,948.14,1742.13,830.60,948.14,1778.74,831.00,1016.26,1847.26
18,Statement 3,55,Ladakh,,,ministry_total,778.87,2090.15,2869.02,2808.08,3149.92,5958.00,2400.00,2100.00,4500.00,2881.84,3076.16,5958.00
18,Statement 3,55,Ladakh,Establishment Expenditure of the Centre,1.0,category,108.82,,108.82,1784.69,,1784.69,1726.86,,1726.86,2035.49,,2035.49
18,Statement 3,55,Ladakh,Other Central Sector Expenditure,2.0,category,670.05,2090.15,2760.20,1023.39,3149.92,4173.31,673.14,2100.00,2773.14,846.35,3076.16,3922.51
18,Statement 3,56,Lakshadweep,,,ministry_total,1176.19,87.37,1263.56,1109.52,285.23,1394.75,1297.76,278.12,1575.88,1173.25,316.85,1490.10
18,Statement 3,56,Lakshadweep,Establishment Expenditure of the Centre,1.0,category,418.48,,418.48,427.82,,427.82,427.82,,427.82,454.28,,454.28
18,Statement 3,56,Lakshadweep,Other Central Sector Expenditure,2.0,category,757.71,87.37,845.08,681.70,285.23,966.93,869.94,278.12,1148.06,718.97,316.85,1035.82
19,Statement 3,57,Transfers to Delhi,,,ministry_total,960.49,,960.49,1168.00,0.01,1168.01,1168.00,0.01,1168.01,968.01,200.00,1168.01
19,Statement 3,57,Transfers to Delhi,Other Grants/Loans/Transfers,1.0,category,960.49,,960.49,1168.00,0.01,1168.01,1168.00,0.01,1168.01,968.01,200.00,1168.01
19,Statement 3,58,Transfers to Jammu and Kashmir,,,ministry_total,44696.13,,44696.13,35581.44,,35581.44,41751.44,,41751.44,42277.74,,42277.74
19,Statement 3,58,Transfers to Jammu and Kashmir,Other Grants/Loans/Transfers,1.0,category,44696.13,,44696.13,35581.44,,35581.44,41751.44,,41751.44,42277.74,,42277.74
19,Statement 3,59,Transfers to Puducherry,,,ministry_total,3129.77,,3129.77,3117.76,0.01,3117.77,3388.76,0.01,3388.77,3268.99,0.01,3269.00
19,Statement 3,59,Transfers to Puducherry,Other Grants/Loans/Transfers,1.0,category,3129.77,,3129.77,3117.76,0.01,3117.77,3388.76,0.01,3388.77,3268.99,0.01,3269.00
19,Statement 3,60,Ministry of Housing and Urban Affairs,,,ministry_total,50432.46,26877.77,77310.23,50434.33,25997.27,76431.60,42737.28,26533.44,69270.72,53948.31,28628.26,82576.57
19,Statement 3,60,Ministry of Housing and Urban Affairs,Central Sector Schemes/Projects,1.0,category,2709.43,26876.57,29586.00,589.01,25855.95,26444.96,586.18,26487.82,27074.00,1475.37,28485.93,29961.30
19,Statement 3,60,Ministry of Housing and Urban Affairs,Centrally Sponsored Schemes,2.0,category,46173.25,,46173.25,46103.04,,46103.04,38396.03,,38396.03,48545.63,,48545.63
19,Statement 3,60,Ministry of Housing and Urban Affairs,Establishment Expenditure of the Centre,3.0,category,1478.59,,1478.59,3626.45,9.65,3636.10,3629.92,8.15,3638.07,3804.89,10.48,3815.37
19,Statement 3,60,Ministry of Housing and Urban Affairs,Other Central Sector Expenditure,4.0,category,71.19,1.20,72.39,115.83,131.67,247.50,125.15,37.47,162.62,122.42,131.85,254.27
19,Statement 3,61,Ministry of Information and Broadcasting,,,ministry_total,3994.53,25.65,4020.18,4661.16,30.84,4692.00,4410.92,38.84,4449.76,4303.71,38.84,4342.55
19,Statement 3,61,Ministry of Information and Broadcasting,Central Sector Schemes/Projects,1.0,category,544.01,25.65,569.66,1079.24,25.76,1105.00,1001.52,25.76,1027.28,978.55,25.76,1004.31
19,Statement 3,61,Ministry of Information and Broadcasting,Establishment Expenditure of the Centre,2.0,category,566.73,,566.73,530.42,5.08,535.50,537.92,13.08,551.00,553.33,13.08,566.41
19,Statement 3,61,Ministry of Information and Broadcasting,Other Central Sector Expenditure,3.0,category,2883.79,,2883.79,3051.50,,3051.50,2871.48,,2871.48,2771.83,,2771.83
19,Statement 3,62,"Department of Water Resources, River Development and Ganga",,,ministry_total,11794.44,167.63,11962.07,19694.19,360.48,20054.67,19191.99,324.93,19516.92,20921.15,401.95,21323.10
19,Statement 3,62,"Department of Water Resources, River Development and Ganga",Central Sector Schemes/Projects,1.0,category,4034.97,147.67,4182.64,5937.75,320.36,6258.11,5830.45,293.52,6123.97,6213.74,359.99,6573.73
19,Statement 3,62,"Department of Water Resources, River Development and Ganga",Centrally Sponsored Schemes,2.0,category,6703.06,0.67,6703.73,12385.66,1.57,12387.23,12061.75,1.35,12063.10,13429.65,1.83,13431.48
19,Statement 3,62,"Department of Water Resources, River Development and Ganga",Establishment Expenditure of the Centre,3.0,category,1056.41,19.29,1075.70,1370.78,38.55,1409.33,1299.79,30.06,1329.85,1277.76,40.13,1317.89
19,Statement 3,63,Department of Drinking Water and Sanitation,,,ministry_total,59655.49,,59655.49,77221.80,1.20,77223.00,77031.05,1.60,77032.65,77389.18,1.50,77390.68
19,Statement 3,63,Department of Drinking Water and Sanitation,Centrally Sponsored Schemes,1.0,category,59624.89,,59624.89,77192.00,,77192.00,77000.00,,77000.00,77354.90,,77354.90
19,Statement 3,63,Department of Drinking Water and Sanitation,Establishment Expenditure of the Centre,2.0,category,30.60,,30.60,29.80,1.20,31.00,31.05,1.60,32.65,34.28,1.50,35.78
20,Statement 3,64,Ministry of Labour and Employment,,,ministry_total,14757.37,37.52,14794.89,13183.86,37.87,13221.73,12483.19,37.87,12521.06,22481.88,49.59,22531.47
20,Statement 3,64,Ministry of Labour and Employment,Central Sector Schemes/Projects,1.0,category,14047.83,,14047.83,12434.32,0.50,12434.82,11714.49,0.50,11714.99,21704.96,0.61,21705.57
20,Statement 3,64,Ministry of Labour and Employment,Centrally Sponsored Schemes,2.0,category,43.89,0.09,43.98,,,,,,,,,
20,Statement 3,64,Ministry of Labour and Employment,Establishment Expenditure of the Centre,3.0,category,555.35,37.43,592.78,622.54,37.37,659.91,641.70,37.37,679.07,644.77,48.98,693.75
20,Statement 3,64,Ministry of Labour and Employment,Other Central Sector Expenditure,4.0,category,110.30,,110.30,127.00,,127.00,127.00,,127.00,132.15,,132.15
20,Statement 3,65,Law and Justice,,,ministry_total,4931.93,1191.24,6123.17,2030.65,1944.78,3975.43,5927.39,2562.85,8490.24,5773.79,167.16,5940.95
20,Statement 3,65,Law and Justice,Central Sector Schemes/Projects,1.0,category,47.10,,47.10,40.01,,40.01,873.00,,873.00,1748.00,86.63,1834.63
20,Statement 3,65,Law and Justice,Centrally Sponsored Schemes,2.0,category,858.00,,858.00,1061.00,,1061.00,1061.00,,1061.00,1000.00,,1000.00
20,Statement 3,65,Law and Justice,Establishment Expenditure of the Centre,3.0,category,351.91,,351.91,384.14,78.00,462.14,379.88,121.75,501.63,379.41,55.88,435.29
20,Statement 3,65,Law and Justice,Other Central Sector Expenditure,4.0,category,218.75,,218.75,228.50,,228.50,432.49,,432.49,228.18,,228.18
20,Statement 3,65,Law and Justice,Other Grants/Loans/Transfers,5.0,category,3456.17,1191.24,4647.41,317.00,1866.78,2183.78,3181.02,2441.10,5622.12,2418.20,24.65,2442.85
20,Statement 3,66,Election Commission,,,ministry_total,319.25,-5.00,314.25,312.00,28.00,340.00,385.67,80.37,466.04,306.06,15.83,321.89
20,Statement 3,66,Election Commission,Establishment Expenditure of the Centre,1.0,category,320.23,,320.23,312.00,28.00,340.00,385.67,80.37,466.04,306.06,15.83,321.89
20,Statement 3,66,Election Commission,Other Central Sector Expenditure,2.0,category,-0.98,-5.00,-5.98,,,,,,,,,
20,Statement 3,67,Supreme Court of India,,,ministry_total,392.78,,392.78,407.15,30.00,437.15,459.28,58.00,517.28,456.54,68.95,525.49
20,Statement 3,67,Supreme Court of India,Establishment Expenditure of the Centre,1.0,category,392.78,,392.78,407.15,30.00,437.15,459.28,58.00,517.28,456.54,68.95,525.49
20,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",,,ministry_total,23134.61,406.33,23540.94,21543.43,594.52,22137.95,21543.28,594.67,22137.95,21549.87,588.08,22137.95
20,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",Central Sector Schemes/Projects,1.0,category,23123.86,406.33,23530.19,21277.55,575.00,21852.55,21293.72,575.25,21868.97,21292.95,575.50,21868.45
20,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",Establishment Expenditure of the Centre,2.0,category,53.70,,53.70,245.88,19.52,265.40,235.29,19.42,254.71,244.82,12.58,257.40
20,Statement 3,68,"Ministry of Micro, Small and Medium Enterprises",Other Central Sector Expenditure,3.0,category,-42.95,,-42.95,20.00,,20.00,14.27,,14.27,12.10,,12.10
20,Statement 3,69,Ministry of Mines,,,ministry_total,1520.94,58.22,1579.16,1834.48,77.12,1911.60,2759.40,77.12,2836.52,1895.14,45.92,1941.06
20,Statement 3,69,Ministry of Mines,Establishment Expenditure of the Centre,1.0,category,943.41,,943.41,927.01,,927.01,973.55,0.58,974.13,1090.15,0.55,1090.70
20,Statement 3,69,Ministry of Mines,Other Central Sector Expenditure,2.0,category,577.53,58.22,635.75,907.47,77.12,984.59,1785.85,76.54,1862.39,804.99,45.37,850.36
21,Statement 3,70,Ministry of Minority Affairs,,,ministry_total,643.69,159.00,802.69,3032.60,65.00,3097.60,2543.93,65.00,2608.93,3179.49,3.75,3183.24
21,Statement 3,70,Ministry of Minority Affairs,Central Sector Schemes/Projects,1.0,category,356.13,159.00,515.13,2275.50,61.00,2336.50,1854.86,61.00,1915.86,2120.72,,2120.72
21,Statement 3,70,Ministry of Minority Affairs,Centrally Sponsored Schemes,2.0,category,222.75,,222.75,610.00,,610.00,555.00,,555.00,912.90,,912.90
21,Statement 3,70,Ministry of Minority Affairs,Establishment Expenditure of the Centre,3.0,category,86.58,,86.58,128.00,4.00,132.00,117.69,4.00,121.69,128.87,3.75,132.62
21,Statement 3,70,Ministry of Minority Affairs,Other Central Sector Expenditure,4.0,category,-21.77,,-21.77,19.10,,19.10,16.38,,16.38,17.00,,17.00
21,Statement 3,71,Ministry of New and Renewable Energy,,,ministry_total,7549.90,13.47,7563.37,10210.35,11.65,10222.00,7833.00,15.00,7848.00,19082.55,17.45,19100.00
21,Statement 3,71,Ministry of New and Renewable Energy,Central Sector Schemes/Projects,1.0,category,7592.85,,7592.85,9874.81,,9874.81,7623.46,,7623.46,18852.76,,18852.76
21,Statement 3,71,Ministry of New and Renewable Energy,Establishment Expenditure of the Centre,2.0,category,45.78,13.47,59.25,53.54,11.65,65.19,53.54,15.00,68.54,69.79,17.45,87.24
21,Statement 3,71,Ministry of New and Renewable Energy,Other Central Sector Expenditure,3.0,category,-88.73,,-88.73,282.00,,282.00,156.00,,156.00,160.00,,160.00
21,Statement 3,72,Ministry of Panchayati Raj,,,ministry_total,901.18,,901.18,993.27,23.15,1016.42,981.39,2.61,984.00,1161.20,22.44,1183.64
21,Statement 3,72,Ministry of Panchayati Raj,Central Sector Schemes/Projects,1.0,category,103.29,,103.29,55.46,20.54,76.00,54.00,,54.00,50.46,19.54,70.00
