page,statement,row_label,actuals_2018_19_revenue,actuals_2018_19_capital,actuals_2018_19_total,BE_2019_20_revenue,BE_2019_20_capital,BE_2019_20_total,RE_2019_20_revenue,RE_2019_20_capital,RE_2019_20_total,BE_2020_21_revenue,BE_2020_21_capital,BE_2020_21_total
12,Statement 3,3.   Other Grants/Loans/Transfers,54275.0,,54275.0,101200.02,,101200.02,121200.02,,121200.02,135368.05,,135368.05
12,Statement 3,32. Direct Taxes,7073.9,231.93,7305.83,7036.44,300.0,7336.44,7041.42,300.02,7341.44,7733.39,330.0,8063.39
12,Statement 3,1. Establishment Expenditure of the Centre,7073.9,242.82,7316.72,7036.44,300.0,7336.44,7041.42,300.02,7341.44,7733.39,330.0,8063.39
12,Statement 3,2.   Other Central Sector Expenditure,,-10.89,-10.89,,,,,,,,,
12,Statement 3,33. Indirect Taxes,6927.7,252.16,7179.86,7493.15,406.85,7900.0,7493.15,406.85,7900.0,7820.0,438.0,8258.0
12,Statement 3,1. Establishment Expenditure of the Centre,6927.7,252.16,7179.86,7493.15,406.85,7900.0,7493.15,406.85,7900.0,7820.0,438.0,8258.0
12,Statement 3,34. Indian Audit and Accounts Department,4483.53,34.12,4517.65,4666.78,16.0,4682.78,4774.0,16.0,4790.0,5036.73,18.0,5054.73
12,Statement 3,1. Establishment Expenditure of the Centre,4483.53,34.12,4517.65,4666.78,16.0,4682.78,4774.0,16.0,4790.0,5036.73,18.0,5054.73
12,Statement 3,35. Interest Payments,582648.45,,582648.45,660470.6,,660470.6,625105.23,,625105.23,708203.16,,708203.16
12,Statement 3,1. Other Central Sector Expenditure,582648.45,,582648.45,660470.6,,660470.6,625105.23,,625105.23,708203.16,,708203.16
12,Statement 3,36. Repayment of Debt,,,,,,,,,,,,
12,Statement 3,1. Other Central Sector Expenditure,,,,,,,,,,,,
12,Statement 3,37. Pensions,44726.63,,44726.63,48565.0,,48565.0,50565.0,,50565.0,61169.35,,61169.35
12,Statement 3,1. Establishment Expenditure of the Centre,44726.63,,44726.63,48565.0,,48565.0,50565.0,,50565.0,61169.35,,61169.35
12,Statement 3,38. Transfers to States,109721.63,9422.69,119144.32,147986.22,7461.23,155447.45,148419.88,7027.12,155447.0,190994.8,9452.65,200447.45
12,Statement 3,1. Finance Commission Grants,93703.58,,93703.58,120466.22,,120466.22,123709.88,,123709.88,149924.8,,149924.8
12,Statement 3,2.   Other Grants/Loans/Transfers,16018.05,9422.69,25440.74,27520.0,7461.23,34981.23,24710.0,7027.12,31737.12,41070.0,9452.65,50522.65
12,Statement 3,39. Department of Fisheries,,,,790.58,14.17,804.75,685.83,14.17,700.0,805.84,19.16,825.0
12,Statement 3,1. Centrally Sponsored Schemes,,,,560.0,,560.0,455.25,,455.25,570.0,,570.0
12,Statement 3,2.   Establishment Expenditure of the Centre,,,,145.33,14.17,159.5,145.33,14.17,159.5,153.84,19.16,173.0
12,Statement 3,3.   Other Central Sector Expenditure,,,,85.25,,85.25,85.25,,85.25,82.0,,82.0
12,Statement 3,40. Department of Animal Husbandry and Dairying,3163.06,7.74,3170.8,2890.61,41.64,2932.25,2776.58,13.42,2790.0,3242.42,46.71,3289.13
12,Statement 3,1. Central Sector Schemes/Projects,,,,500.0,,500.0,811.07,,811.07,1300.0,,1300.0
12,Statement 3,2.   Centrally Sponsored Schemes,2857.16,,2857.16,2240.0,,2240.0,1798.93,,1798.93,1805.0,,1805.0
12,Statement 3,3.   Establishment Expenditure of the Centre,232.99,7.74,240.73,182.37,17.88,200.25,165.58,8.42,174.0,164.95,12.18,177.13
12,Statement 3,4.   Other Central Sector Expenditure,72.91,,72.91,-31.76,23.76,-8.0,1.0,5.0,6.0,-27.53,34.53,7.0
12,Statement 3,41. Ministry of Food Processing Industries,716.7,,716.7,1196.6,,1196.6,1042.79,,1042.79,1232.94,,1232.94
12,Statement 3,1. Central Sector Schemes/Projects,591.63,,591.63,1101.0,,1101.0,889.43,,889.43,1081.41,,1081.41
12,Statement 3,2.   Centrally Sponsored Schemes,-2.47,,-2.47,,,,,,,,,
12,Statement 3,3.   Establishment Expenditure of the Centre,25.39,,25.39,27.16,,27.16,29.71,,29.71,32.32,,32.32
12,Statement 3,4.   Other Central Sector Expenditure,102.15,,102.15,68.44,,68.44,123.65,,123.65,119.21,,119.21
13,Statement 3,42. Department of Health and Family Welfare,50592.47,2361.48,52953.95,60908.22,1750.9,62659.12,60810.86,1848.26,62659.12,63946.1,1065.7,65011.8
13,Statement 3,1. Central Sector Schemes/Projects,4177.36,2020.29,6197.65,6225.79,1224.21,7450.0,7246.21,1219.05,8465.26,8978.69,782.31,9761.0
13,Statement 3,2.   Centrally Sponsored Schemes,32945.54,,32945.54,39550.0,1.0,39551.0,37102.6,1.0,37103.6,39838.0,1.0,39839.0
13,Statement 3,3.   Establishment Expenditure of the Centre,4171.17,318.28,4489.45,4636.36,491.57,5127.93,4877.87,511.68,5389.55,4976.21,243.0,5219.21
13,Statement 3,4.   Other Central Sector Expenditure,9298.4,22.91,9321.31,10496.07,34.12,10530.19,11584.18,116.53,11700.71,10153.2,39.39,10192.59
13,Statement 3,43. Department of Health Research,1727.88,,1727.88,1900.0,,1900.0,1950.0,,1950.0,2100.0,,2100.0
13,Statement 3,1. Central Sector Schemes/Projects,126.88,,126.88,247.35,,247.35,230.0,,230.0,262.29,,262.29
13,Statement 3,2.   Establishment Expenditure of the Centre,25.43,,25.43,38.0,,38.0,38.0,,38.0,42.0,,42.0
13,Statement 3,3.   Other Central Sector Expenditure,1575.57,,1575.57,1614.65,,1614.65,1682.0,,1682.0,1795.71,,1795.71
13,Statement 3,44. Department of Heavy Industry,570.26,463.87,1034.13,980.74,386.26,1367.0,956.53,352.08,1308.61,930.35,559.63,1489.98
13,Statement 3,1. Central Sector Schemes/Projects,518.38,372.0,890.38,920.38,108.35,1028.73,896.18,108.35,1004.53,881.25,300.0,1181.25
13,Statement 3,2.   Establishment Expenditure of the Centre,35.67,,35.67,39.05,,39.05,39.05,,39.05,41.09,,41.09
13,Statement 3,3.   Other Central Sector Expenditure,16.21,91.87,108.08,21.31,277.91,299.22,21.3,243.73,265.03,8.01,259.63,267.64
13,Statement 3,45. Department of Public Enterprises,21.19,,21.19,22.64,,22.64,22.64,,22.64,24.15,,24.15
13,Statement 3,1. Central Sector Schemes/Projects,8.9,,8.9,9.5,,9.5,9.5,,9.5,10.5,,10.5
13,Statement 3,2.   Establishment Expenditure of the Centre,12.29,,12.29,13.14,,13.14,13.14,,13.14,13.65,,13.65
13,Statement 3,46. Ministry of Home Affairs,4570.36,272.26,4842.62,4584.41,311.4,4895.81,19634.38,320.68,19955.06,7749.52,252.48,8002.0
13,Statement 3,1. Central Sector Schemes/Projects,2461.66,198.93,2660.59,2418.25,142.93,2561.18,2290.94,147.34,2438.28,1528.7,72.03,1600.73
