page,pdf_page,statement,demand_no,ministry_department,category_number,expenditure_category,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total,RE_2022_2023_revenue,RE_2022_2023_capital,RE_2022_2023_total,BE_2023_2024_revenue,BE_2023_2024_capital,BE_2023_2024_total
16,22,Statement 3,71,Ministry of New and Renewable Energy,2,Establishment Expenditure of the Centre,34.31,75.98,110.29,56.01,11.74,67.75,54.01,13.74,67.75,53.54,11.65,65.19
16,22,Statement 3,71,Ministry of New and Renewable Energy,3,Other Central Sector Expenditure,-170.80,2500.00,2329.20,45.00,,45.00,145.00,,145.00,282.00,,282.00
16,22,Statement 3,71,Ministry of New and Renewable Energy,,TOTAL,,,6582.95,,,6900.68,,,7033.00,,,10222.00
16,22,Statement 3,72,Ministry of Panchayati Raj,,TOTAL / Ministry,864.83,,864.83,868.57,,868.57,905.77,,905.77,993.27,23.15,1016.42
16,22,Statement 3,72,Ministry of Panchayati Raj,1,Central Sector Schemes/Projects,139.99,,139.99,163.20,,163.20,105.00,,105.00,55.46,20.54,76.00
16,22,Statement 3,72,Ministry of Panchayati Raj,2,Centrally Sponsored Schemes,690.41,,690.41,663.00,,663.00,762.00,,762.00,893.50,1.50,895.00
16,22,Statement 3,72,Ministry of Panchayati Raj,3,Establishment Expenditure of the Centre,34.43,,34.43,42.37,,42.37,38.77,,38.77,44.31,1.11,45.42
16,22,Statement 3,72,Ministry of Panchayati Raj,,TOTAL,,,864.83,,,868.57,,,905.77,,,1016.42
16,22,Statement 3,73,Ministry of Parliamentary Affairs,,TOTAL / Ministry,48.79,,48.79,66.40,,66.40,65.96,,65.96,59.00,4.00,63.00
16,22,Statement 3,73,Ministry of Parliamentary Affairs,1,Establishment Expenditure of the Centre,48.79,,48.79,66.40,,66.40,65.96,,65.96,59.00,4.00,63.00
16,22,Statement 3,74,"Ministry of Personnel, Public Grievances and Pensions",,TOTAL / Ministry,1734.03,139.25,1873.28,2111.88,225.30,2337.18,1987.03,333.34,2320.37,1932.02,275.72,2207.74
16,22,Statement 3,74,"Ministry of Personnel, Public Grievances and Pensions",1,Central Sector Schemes/Projects,57.61,63.03,120.64,176.66,78.34,255.00,150.91,78.34,229.25,154.59,72.16,226.75
16,22,Statement 3,74,"Ministry of Personnel, Public Grievances and Pensions",2,Establishment Expenditure of the Centre,1581.71,76.22,1657.93,1503.57,146.96,1650.53,1790.36,255.00,2045.36,1705.83,203.56,1909.39
16,22,Statement 3,74,"Ministry of Personnel, Public Grievances and Pensions",3,Other Central Sector Expenditure,94.71,,94.71,431.65,,431.65,45.76,,45.76,71.60,,71.60
16,22,Statement 3,74,"Ministry of Personnel, Public Grievances and Pensions",,TOTAL,,,1873.28,,,2337.18,,,2320.37,,,2207.74
16,22,Statement 3,75,"Ministry of Personnel, Public Grievances and Pensions",,Central Vigilance Commission,37.49,,37.49,41.96,,41.96,43.46,,43.46,43.21,1.25,44.46
16,22,Statement 3,75,"Ministry of Personnel, Public Grievances and Pensions",1,Establishment Expenditure of the Centre,37.49,,37.49,41.96,,41.96,43.46,,43.46,43.21,1.25,44.46
17,23,Statement 3,76,Ministry of Petroleum and Natural Gas,,TOTAL / Ministry,5406.32,347.31,5753.63,8339.86,600.00,8939.86,33843.54,40.01,33883.55,5498.74,35508.98,41007.72
17,23,Statement 3,76,Ministry of Petroleum and Natural Gas,1,Central Sector Schemes/Projects,5144.02,347.31,5491.33,8137.82,600.00,8737.82,33692.72,40.01,33732.73,5277.60,35508.00,40785.60
17,23,Statement 3,76,Ministry of Petroleum and Natural Gas,2,Establishment Expenditure of the Centre,36.86,,36.86,49.16,,49.16,49.16,,49.16,51.90,0.98,52.88
17,23,Statement 3,76,Ministry of Petroleum and Natural Gas,3,Other Central Sector Expenditure,225.44,,225.44,152.88,,152.88,101.66,,101.66,169.24,,169.24
17,23,Statement 3,76,Ministry of Petroleum and Natural Gas,,TOTAL,,,5753.63,,,8939.86,,,33883.55,,,41007.72
17,23,Statement 3,77,Ministry of Planning,,TOTAL / Ministry,1064.13,,1064.13,310.67,10.75,321.42,1011.23,20.30,1031.53,805.73,18.66,824.39
17,23,Statement 3,77,Ministry of Planning,1,Central Sector Schemes/Projects,926.35,,926.35,151.32,10.75,162.07,827.71,20.30,848.01,621.00,11.00,632.00
17,23,Statement 3,77,Ministry of Planning,2,Establishment Expenditure of the Centre,129.20,,129.20,149.49,,149.49,172.22,,172.22,173.43,7.66,181.09
17,23,Statement 3,77,Ministry of Planning,3,Other Central Sector Expenditure,8.58,,8.58,9.86,,9.86,11.30,,11.30,11.30,,11.30
17,23,Statement 3,77,Ministry of Planning,,TOTAL,,,1064.13,,,321.42,,,1031.53,,,824.39
17,23,Statement 3,78,"Ministry of Ports, Shipping and Waterways",,TOTAL / Ministry,913.87,613.68,1527.55,1135.19,574.31,1709.50,1120.11,673.26,1793.37,1150.53,1068.21,2218.74
17,23,Statement 3,78,"Ministry of Ports, Shipping and Waterways",1,Central Sector Schemes/Projects,488.55,100.00,588.55,622.29,,622.29,503.57,124.22,627.79,448.03,130.00,578.03
17,23,Statement 3,78,"Ministry of Ports, Shipping and Waterways",2,Establishment Expenditure of the Centre,48.70,,48.70,80.00,,80.00,72.00,,72.00,77.75,2.25,80.00
17,23,Statement 3,78,"Ministry of Ports, Shipping and Waterways",3,Other Central Sector Expenditure,376.62,513.68,890.30,432.90,574.31,1007.21,544.54,549.04,1093.58,624.75,935.96,1560.71
17,23,Statement 3,78,"Ministry of Ports, Shipping and Waterways",,TOTAL,,,1527.55,,,1709.50,,,1793.37,,,2218.74
17,23,Statement 3,79,Ministry of Power,,TOTAL / Ministry,18768.28,2826.65,21594.93,16061.63,13.11,16074.74,13083.46,23.12,13106.58,20654.52,16.80,20671.32
17,23,Statement 3,79,Ministry of Power,1,Central Sector Schemes/Projects,15228.34,2816.65,18044.99,11192.69,13.11,11205.80,9560.05,13.11,9573.16,16107.92,1.00,16108.92
17,23,Statement 3,79,Ministry of Power,2,Establishment Expenditure of the Centre,89.70,,89.70,231.79,,231.79,227.69,,227.69,244.13,5.79,249.92
17,23,Statement 3,79,Ministry of Power,3,Other Central Sector Expenditure,3450.24,10.00,3460.24,4637.15,,4637.15,3295.72,10.01,3305.73,4302.47,10.01,4312.48
17,23,Statement 3,79,Ministry of Power,,TOTAL,,,21594.93,,,16074.74,,,13106.58,,,20671.32
17,23,Statement 3,80,Ministry of Power,,"Staff, Household and Allowances of the President",67.63,,67.63,79.45,,79.45,84.80,,84.80,87.73,2.41,90.14
17,23,Statement 3,80,Ministry of Power,1,Establishment Expenditure of the Centre,67.63,,67.63,79.45,,79.45,84.80,,84.80,87.73,2.41,90.14
17,23,Statement 3,81,Lok Sabha,,TOTAL / Ministry,596.00,,596.00,800.00,,800.00,743.00,,743.00,786.51,35.49,822.00
17,23,Statement 3,81,Lok Sabha,1,Establishment Expenditure of the Centre,596.00,,596.00,800.00,,800.00,743.00,,743.00,786.51,35.49,822.00
17,23,Statement 3,82,Rajya Sabha,,TOTAL / Ministry,366.52,,366.52,430.96,,430.96,445.74,,445.74,474.35,10.06,484.41
17,23,Statement 3,82,Rajya Sabha,1,Establishment Expenditure of the Centre,366.52,,366.52,430.96,,430.96,445.74,,445.74,474.35,10.06,484.41
18,24,Statement 3,83,Secretariat of the Vice-President,,TOTAL / Ministry,7.04,,7.04,8.64,,8.64,8.64,,8.64,9.10,0.21,9.31
18,24,Statement 3,83,Secretariat of the Vice-President,1,Establishment Expenditure of the Centre,7.04,,7.04,8.64,,8.64,8.64,,8.64,9.10,0.21,9.31
18,24,Statement 3,84,Union Public Service Commission,,TOTAL / Ministry,316.16,,316.16,330.58,,330.58,370.00,,370.00,358.46,21.54,380.00
18,24,Statement 3,84,Union Public Service Commission,1,Establishment Expenditure of the Centre,316.16,,316.16,330.58,,330.58,370.00,,370.00,358.46,21.54,380.00
18,24,Statement 3,85,Ministry of Railways,,TOTAL / Ministry,17971.60,117270.54,135242.14,3267.13,137100.00,140367.13,3211.90,159100.00,162311.90,1267.51,240000.00,241267.51
18,24,Statement 3,85,Ministry of Railways,1,Central Sector Schemes/Projects,,117270.54,117270.54,,137100.00,137100.00,,159100.00,159100.00,,240000.00,240000.00
18,24,Statement 3,85,Ministry of Railways,2,Establishment Expenditure of the Centre,17971.60,,17971.60,3267.13,,3267.13,3211.90,,3211.90,1267.51,,1267.51
18,24,Statement 3,85,Ministry of Railways,,TOTAL,,,135242.14,,,140367.13,,,162311.90,,,241267.51
18,24,Statement 3,86,Ministry of Road Transport and Highways,,TOTAL / Ministry,10239.00,113311.60,123550.60,11363.71,187744.00,199107.71,10723.80,206302.82,217026.62,11829.18,258605.53,270434.71
18,24,Statement 3,86,Ministry of Road Transport and Highways,1,Central Sector Schemes/Projects,10108.30,113311.60,123419.90,11200.48,187744.00,198944.48,10560.57,206302.82,216863.39,11649.05,258601.33,270250.38
18,24,Statement 3,86,Ministry of Road Transport and Highways,2,Establishment Expenditure of the Centre,130.70,,130.70,163.23,,163.23,163.23,,163.23,180.13,4.20,184.33
18,24,Statement 3,86,Ministry of Road Transport and Highways,,TOTAL,,,123550.60,,,199107.71,,,217026.62,,,270434.71
18,24,Statement 3,87,Department of Rural Development,,TOTAL / Ministry,160433.46,,160433.46,135944.29,,135944.29,181121.80,,181121.80,157541.48,3.52,157545.00
18,24,Statement 3,87,Department of Rural Development,1,Central Sector Schemes/Projects,204.83,,204.83,212.20,,212.20,126.22,,126.22,113.49,,113.49
18,24,Statement 3,87,Department of Rural Development,2,Centrally Sponsored Schemes,160201.64,,160201.64,135538.73,,135538.73,180799.33,,180799.33,157252.49,,157252.49
18,24,Statement 3,87,Department of Rural Development,3,Establishment Expenditure of the Centre,72.13,,72.13,57.90,,57.90,81.66,,81.66,60.50,3.52,64.02
18,24,Statement 3,87,Department of Rural Development,4,Other Central Sector Expenditure,-45.14,,-45.14,135.46,,135.46,114.59,,114.59,115.00,,115.00
18,24,Statement 3,87,Department of Rural Development,,TOTAL,,,160433.46,,,135944.29,,,181121.80,,,157545.00
18,24,Statement 3,88,Department of Land Resources,,TOTAL / Ministry,1209.87,,1209.87,2259.34,,2259.34,1260.00,,1260.00,2417.97,1.26,2419.23
18,24,Statement 3,88,Department of Land Resources,1,Central Sector Schemes/Projects,250.02,,250.02,239.25,,239.25,239.25,,239.25,195.75,,195.75
18,24,Statement 3,88,Department of Land Resources,2,Centrally Sponsored Schemes,941.03,,941.03,2000.00,,2000.00,1000.08,,1000.08,2200.00,,2200.00
18,24,Statement 3,88,Department of Land Resources,3,Establishment Expenditure of the Centre,18.82,,18.82,20.09,,20.09,20.67,,20.67,22.22,1.26,23.48
18,24,Statement 3,88,Department of Land Resources,,TOTAL,,,1209.87,,,2259.34,,,1260.00,,,2419.23
18,24,Statement 3,89,Department of Science and Technology,,TOTAL / Ministry,5082.79,57.47,5140.26,5917.30,82.70,6000.00,4862.85,42.12,4904.97,7842.75,88.30,7931.05
18,24,Statement 3,89,Department of Science and Technology,1,Central Sector Schemes/Projects,2047.31,,2047.31,2894.55,,2894.55,1925.00,,1925.00,2777.00,,2777.00
18,24,Statement 3,89,Department of Science and Technology,2,Establishment Expenditure of the Centre,526.50,57.47,583.97,619.75,82.70,702.45,591.64,42.12,633.76,602.75,88.30,691.05
19,25,Statement 3,89,Department of Science and Technology,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS 3. Other Central Sector Expenditure,2508.98,,2508.98,2403.00,,2403.00,2346.21,,2346.21,4463.00,,4463.00
19,25,Statement 3,89,Department of Science and Technology,,TOTAL,,,5140.26,,,6000.00,,,4904.97,,,7931.05
19,25,Statement 3,90,Department of Biotechnology,,TOTAL / Ministry,2850.73,,2850.73,2581.00,,2581.00,2192.92,,2192.92,2683.86,,2683.86
19,25,Statement 3,90,Department of Biotechnology,1,Central Sector Schemes/Projects,2131.09,,2131.09,1680.00,,1680.00,1250.00,,1250.00,1645.00,,1645.00
19,25,Statement 3,90,Department of Biotechnology,2,Establishment Expenditure of the Centre,31.16,,31.16,35.18,,35.18,36.85,,36.85,46.39,,46.39
19,25,Statement 3,90,Department of Biotechnology,3,Other Central Sector Expenditure,688.48,,688.48,865.82,,865.82,906.07,,906.07,992.47,,992.47
19,25,Statement 3,90,Department of Biotechnology,,TOTAL,,,2850.73,,,2581.00,,,2192.92,,,2683.86
19,25,Statement 3,91,Department of Scientific and Industrial Research,,TOTAL / Ministry,5112.35,10.64,5122.99,5623.96,12.50,5636.46,5937.61,4.00,5941.61,5737.05,9.46,5746.51
19,25,Statement 3,91,Department of Scientific and Industrial Research,1,Central Sector Schemes/Projects,29.53,0.60,30.13,37.00,2.00,39.00,40.18,3.50,43.68,36.63,8.40,45.03
19,25,Statement 3,91,Department of Scientific and Industrial Research,2,Establishment Expenditure of the Centre,13.44,10.00,23.44,17.70,10.00,27.70,16.44,,16.44,17.91,0.56,18.47
19,25,Statement 3,91,Department of Scientific and Industrial Research,3,Other Central Sector Expenditure,5069.38,0.04,5069.42,5569.26,0.50,5569.76,5880.99,0.50,5881.49,5682.51,0.50,5683.01
19,25,Statement 3,91,Department of Scientific and Industrial Research,,TOTAL,,,5122.99,,,5636.46,,,5941.61,,,5746.51
19,25,Statement 3,92,Ministry of Skill Development and Entrepreneurship,,TOTAL / Ministry,2029.17,91.97,2121.14,2847.54,151.46,2999.00,1829.64,72.07,1901.71,3418.07,99.24,3517.31
19,25,Statement 3,92,Ministry of Skill Development and Entrepreneurship,1,Central Sector Schemes/Projects,,,,,,,,,,2278.37,,2278.37
19,25,Statement 3,92,Ministry of Skill Development and Entrepreneurship,2,Centrally Sponsored Schemes,1844.33,0.03,1844.36,2613.07,0.17,2613.24,1611.53,0.07,1611.60,894.46,,894.46
19,25,Statement 3,92,Ministry of Skill Development and Entrepreneurship,3,Establishment Expenditure of the Centre,188.84,91.94,280.78,234.47,151.29,385.76,218.11,72.00,290.11,222.99,99.24,322.23
19,25,Statement 3,92,Ministry of Skill Development and Entrepreneurship,4,Other Central Sector Expenditure,-4.00,,-4.00,,,,,,,22.25,,22.25
19,25,Statement 3,92,Ministry of Skill Development and Entrepreneurship,,TOTAL,,,2121.14,,,2999.00,,,1901.71,,,3517.31
19,25,Statement 3,93,Department of Social Justice and Empowerment,,TOTAL / Ministry,7340.22,95.00,7435.22,11687.51,235.00,11922.51,11549.91,110.03,11659.94,12706.97,140.05,12847.02
19,25,Statement 3,93,Department of Social Justice and Empowerment,1,Central Sector Schemes/Projects,518.70,90.00,608.70,859.50,110.00,969.50,1709.52,110.00,1819.52,884.86,92.00,976.86
19,25,Statement 3,93,Department of Social Justice and Empowerment,2,Centrally Sponsored Schemes,6699.28,,6699.28,10641.01,,10641.01,9643.39,,9643.39,11603.11,,11603.11
19,25,Statement 3,93,Department of Social Justice and Empowerment,3,Establishment Expenditure of the Centre,93.56,,93.56,127.00,,127.00,127.00,,127.00,139.00,8.05,147.05
19,25,Statement 3,93,Department of Social Justice and Empowerment,4,Other Central Sector Expenditure,28.68,5.00,33.68,60.00,125.00,185.00,70.00,0.03,70.03,80.00,40.00,120.00
19,25,Statement 3,93,Department of Social Justice and Empowerment,,TOTAL,,,7435.22,,,11922.51,,,11659.94,,,12847.02
19,25,Statement 3,94,Department of Empowerment of Persons with Disabilities,,TOTAL / Ministry,1007.14,,1007.14,1212.41,0.01,1212.42,1015.98,,1015.98,1224.09,1.06,1225.15
19,25,Statement 3,94,Department of Empowerment of Persons with Disabilities,1,Central Sector Schemes/Projects,556.49,,556.49,740.39,,740.39,580.00,,580.00,680.00,,680.00
20,26,Statement 3,94,Department of Empowerment of Persons with Disabilities,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS 2. Establishment Expenditure of the Centre,28.16,,28.16,40.50,,40.50,33.58,,33.58,41.67,1.05,42.72
20,26,Statement 3,94,Department of Empowerment of Persons with Disabilities,3,Other Central Sector Expenditure,422.49,,422.49,431.52,0.01,431.53,402.40,,402.40,502.42,0.01,502.43
20,26,Statement 3,94,Department of Empowerment of Persons with Disabilities,,TOTAL,,,1007.14,,,1212.42,,,1015.98,,,1225.15
20,26,Statement 3,95,Department of Space,,TOTAL / Ministry,5571.98,6901.86,12473.84,6234.40,7465.60,13700.00,5976.89,4553.15,10530.04,6187.10,6356.81,12543.91
20,26,Statement 3,95,Department of Space,1,Central Sector Schemes/Projects,4609.26,6003.32,10612.58,5193.70,7448.30,12642.00,5238.93,4540.20,9779.13,5382.05,6287.36,11669.41
20,26,Statement 3,95,Department of Space,2,Establishment Expenditure of the Centre,213.73,5.03,218.76,242.70,16.30,259.00,322.95,12.95,335.90,382.46,68.45,450.91
20,26,Statement 3,95,Department of Space,3,Other Central Sector Expenditure,748.99,893.51,1642.50,798.00,1.00,799.00,415.01,,415.01,422.59,1.00,423.59
20,26,Statement 3,95,Department of Space,,TOTAL,,,12473.84,,,13700.00,,,10530.04,,,12543.91
20,26,Statement 3,96,Ministry of Statistics and Programme Implementation,,TOTAL / Ministry,2680.49,8.51,2689.00,5378.08,20.00,5398.08,5165.36,11.73,5177.09,5409.92,33.48,5443.40
20,26,Statement 3,96,Ministry of Statistics and Programme Implementation,1,Central Sector Schemes/Projects,1965.32,8.51,1973.83,4507.11,20.00,4527.11,4300.77,11.73,4312.50,4526.25,32.25,4558.50
20,26,Statement 3,96,Ministry of Statistics and Programme Implementation,2,Establishment Expenditure of the Centre,718.00,,718.00,870.97,,870.97,864.59,,864.59,561.38,1.23,562.61
20,26,Statement 3,96,Ministry of Statistics and Programme Implementation,3,Other Central Sector Expenditure,-2.83,,-2.83,,,,,,,322.29,,322.29
20,26,Statement 3,96,Ministry of Statistics and Programme Implementation,,TOTAL,,,2689.00,,,5398.08,,,5177.09,,,5443.40
20,26,Statement 3,97,Ministry of Steel,,TOTAL / Ministry,40.15,,40.15,47.00,,47.00,57.72,,57.72,67.98,2.17,70.15
20,26,Statement 3,97,Ministry of Steel,1,Central Sector Schemes/Projects,6.13,,6.13,4.49,,4.49,16.49,,16.49,24.00,,24.00
20,26,Statement 3,97,Ministry of Steel,2,Establishment Expenditure of the Centre,33.54,,33.54,40.51,,40.51,39.25,,39.25,41.47,2.17,43.64
20,26,Statement 3,97,Ministry of Steel,3,Other Central Sector Expenditure,0.48,,0.48,2.00,,2.00,1.98,,1.98,2.51,,2.51
20,26,Statement 3,97,Ministry of Steel,,TOTAL,,,40.15,,,47.00,,,57.72,,,70.15
20,26,Statement 3,98,Ministry of Textiles,,TOTAL / Ministry,10948.47,111.34,11059.81,12357.11,25.03,12382.14,3548.08,31.53,3579.61,4362.53,26.81,4389.34
20,26,Statement 3,98,Ministry of Textiles,1,Central Sector Schemes/Projects,10950.78,45.13,10995.91,12011.92,5.00,12016.92,3178.51,6.50,3185.01,3602.78,1.00,3603.78
20,26,Statement 3,98,Ministry of Textiles,2,Establishment Expenditure of the Centre,81.21,,81.21,317.18,20.00,337.18,344.58,25.00,369.58,351.17,25.78,376.95
20,26,Statement 3,98,Ministry of Textiles,3,Other Central Sector Expenditure,-83.52,66.21,-17.31,28.01,0.03,28.04,24.99,0.03,25.02,408.58,0.03,408.61
20,26,Statement 3,98,Ministry of Textiles,,TOTAL,,,11059.81,,,12382.14,,,3579.61,,,4389.34
20,26,Statement 3,99,Ministry of Tourism,,TOTAL / Ministry,782.01,,782.01,2400.00,,2400.00,1343.13,,1343.13,2400.00,,2400.00
20,26,Statement 3,99,Ministry of Tourism,1,Central Sector Schemes/Projects,686.84,,686.84,2270.34,,2270.34,1217.86,,1217.86,2286.22,,2286.22
20,26,Statement 3,99,Ministry of Tourism,2,Centrally Sponsored Schemes,,,,5.27,,5.27,5.27,,5.27,5.27,,5.27
21,27,Statement 3,99,Ministry of Tourism,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS 3. Establishment Expenditure of the Centre,95.17,,95.17,124.39,,124.39,120.00,,120.00,108.51,,108.51
21,27,Statement 3,99,Ministry of Tourism,,TOTAL,,,782.01,,,2400.00,,,1343.13,,,2400.00
21,27,Statement 3,100,Ministry of Tribal Affairs,,TOTAL / Ministry,6173.97,,6173.97,8401.92,50.00,8451.92,7281.00,20.00,7301.00,12414.95,46.93,12461.88
21,27,Statement 3,100,Ministry of Tribal Affairs,1,Central Sector Schemes/Projects,1421.16,,1421.16,2895.53,50.00,2945.53,2427.28,20.00,2447.28,6588.49,30.00,6618.49
21,27,Statement 3,100,Ministry of Tribal Affairs,2,Centrally Sponsored Schemes,3779.16,,3779.16,4111.38,,4111.38,3874.02,,3874.02,4295.40,,4295.40
21,27,Statement 3,100,Ministry of Tribal Affairs,3,Establishment Expenditure of the Centre,50.20,,50.20,45.00,,45.00,54.70,,54.70,58.95,1.93,60.88
21,27,Statement 3,100,Ministry of Tribal Affairs,4,Other Central Sector Expenditure,,,,,,,,,,,15.00,15.00
21,27,Statement 3,100,Ministry of Tribal Affairs,5,Other Grants/Loans/Transfers,923.45,,923.45,1350.01,,1350.01,925.00,,925.00,1472.11,,1472.11
21,27,Statement 3,100,Ministry of Tribal Affairs,,TOTAL,,,6173.97,,,8451.92,,,7301.00,,,12461.88
21,27,Statement 3,101,Ministry of Women and Child Development,,TOTAL / Ministry,21654.57,,21654.57,25170.28,2.00,25172.28,23910.69,2.00,23912.69,25443.67,5.08,25448.75
21,27,Statement 3,101,Ministry of Women and Child Development,1,Centrally Sponsored Schemes,21428.81,,21428.81,24937.35,2.00,24939.35,23661.00,2.00,23663.00,25188.44,2.00,25190.44
21,27,Statement 3,101,Ministry of Women and Child Development,2,Establishment Expenditure of the Centre,62.14,,62.14,73.10,,73.10,80.09,,80.09,79.32,3.08,82.40
21,27,Statement 3,101,Ministry of Women and Child Development,3,Other Central Sector Expenditure,163.62,,163.62,159.83,,159.83,169.60,,169.60,175.91,,175.91
21,27,Statement 3,101,Ministry of Women and Child Development,,TOTAL,,,21654.57,,,25172.28,,,23912.69,,,25448.75
21,27,Statement 3,102,Ministry of Youth Affairs and Sports,,TOTAL / Ministry,2249.69,0.50,2250.19,3057.28,5.32,3062.60,2671.35,2.00,2673.35,3389.56,7.76,3397.32
21,27,Statement 3,102,Ministry of Youth Affairs and Sports,1,Central Sector Schemes/Projects,1257.49,0.50,1257.99,1827.18,5.32,1832.50,1313.12,2.00,1315.12,1908.12,5.39,1913.51
21,27,Statement 3,102,Ministry of Youth Affairs and Sports,2,Establishment Expenditure of the Centre,32.66,,32.66,39.10,,39.10,39.10,,39.10,41.86,2.37,44.23
21,27,Statement 3,102,Ministry of Youth Affairs and Sports,3,Other Central Sector Expenditure,959.54,,959.54,1191.00,,1191.00,1319.13,,1319.13,1439.58,,1439.58
21,27,Statement 3,102,Ministry of Youth Affairs and Sports,,TOTAL,,,2250.19,,,3062.60,,,2673.35,,,3397.32
