page,pdf_page,statement,demand_no,ministry_department,category_number,expenditure_category,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total,RE_2022_2023_revenue,RE_2022_2023_capital,RE_2022_2023_total,BE_2023_2024_revenue,BE_2023_2024_capital,BE_2023_2024_total
5,11,Statement 3,10,Department of Commerce,,TOTAL / Ministry,6528.04,779.76,7307.80,5673.00,400.00,6073.00,6056.00,400.00,6456.00,5216.43,38.15,5254.58
5,11,Statement 3,10,Department of Commerce,1,Central Sector Schemes/Projects,5872.05,760.00,6632.05,4809.40,400.00,5209.40,5220.41,388.00,5608.41,4351.46,0.01,4351.47
6,12,Statement 3,10,Department of Commerce,,EXPENDITURE OF MINISTRIES AND DEPARTMENTS 2. Establishment Expenditure of the Centre,684.30,27.00,711.30,805.87,,805.87,793.39,12.00,805.39,801.47,38.14,839.61
6,12,Statement 3,10,Department of Commerce,3,Other Central Sector Expenditure,-28.31,-7.24,-35.55,57.73,,57.73,42.20,,42.20,63.50,,63.50
6,12,Statement 3,10,Department of Commerce,,TOTAL,,,7307.80,,,6073.00,,,6456.00,,,5254.58
6,12,Statement 3,11,Department for Promotion of Industry and Internal Trade,,TOTAL / Ministry,6566.38,1685.57,8251.95,7048.00,1300.00,8348.00,5362.57,1362.44,6725.01,6548.93,1651.70,8200.63
6,12,Statement 3,11,Department for Promotion of Industry and Internal Trade,1,Central Sector Schemes/Projects,6043.16,1675.58,7718.74,6406.89,1283.50,7690.39,4651.64,1329.02,5980.66,5741.88,1630.15,7372.03
6,12,Statement 3,11,Department for Promotion of Industry and Internal Trade,2,Establishment Expenditure of the Centre,407.71,9.99,417.70,435.50,16.50,452.00,540.33,33.42,573.75,626.80,21.55,648.35
6,12,Statement 3,11,Department for Promotion of Industry and Internal Trade,3,Other Central Sector Expenditure,115.51,,115.51,205.61,,205.61,170.60,,170.60,180.25,,180.25
6,12,Statement 3,11,Department for Promotion of Industry and Internal Trade,,TOTAL,,,8251.95,,,8348.00,,,6725.01,,,8200.63
6,12,Statement 3,12,Department of Posts,,TOTAL / Ministry,18860.63,885.55,19746.18,19931.40,888.62,20820.02,22162.42,1494.02,23656.44,24417.05,1396.95,25814.00
6,12,Statement 3,12,Department of Posts,1,Central Sector Schemes/Projects,306.12,870.73,1176.85,384.88,870.62,1255.50,292.89,1476.02,1768.91,149.36,1378.95,1528.31
6,12,Statement 3,12,Department of Posts,2,Establishment Expenditure of the Centre,18554.51,14.82,18569.33,19546.52,18.00,19564.52,21869.53,18.00,21887.53,24267.69,18.00,24285.69
6,12,Statement 3,12,Department of Posts,,TOTAL,,,19746.18,,,20820.02,,,23656.44,,,25814.00
6,12,Statement 3,13,Department of Telecommunications,,TOTAL / Ministry,28470.55,3327.82,31798.37,30436.38,54150.42,84586.80,44575.22,37245.89,81821.11,35887.23,61691.82,97579.05
6,12,Statement 3,13,Department of Telecommunications,1,Central Sector Schemes/Projects,8365.90,3114.65,11480.55,2611.18,9066.82,11678.00,1749.27,3637.46,5386.73,6391.55,8451.77,14843.32
6,12,Statement 3,13,Department of Telecommunications,2,Establishment Expenditure of the Centre,15786.53,141.61,15928.14,20042.92,163.60,20206.52,20469.37,151.60,20620.97,21899.86,143.05,22042.91
6,12,Statement 3,13,Department of Telecommunications,3,Other Central Sector Expenditure,4318.12,71.56,4389.68,7782.28,44920.00,52702.28,22356.58,33456.83,55813.41,7595.82,53097.00,60692.82
6,12,Statement 3,13,Department of Telecommunications,,TOTAL,,,31798.37,,,84586.80,,,81821.11,,,97579.05
6,12,Statement 3,14,Department of Consumer Affairs,,TOTAL / Ministry,2191.98,18.53,2210.51,1705.03,19.85,1724.88,192.93,26.62,219.55,222.59,28.07,250.66
6,12,Statement 3,14,Department of Consumer Affairs,1,Central Sector Schemes/Projects,2093.51,18.53,2112.04,1579.15,19.85,1599.00,71.72,26.62,98.34,86.47,27.03,113.50
6,12,Statement 3,14,Department of Consumer Affairs,2,Establishment Expenditure of the Centre,98.47,,98.47,125.88,,125.88,121.21,,121.21,136.12,1.04,137.16
6,12,Statement 3,14,Department of Consumer Affairs,,TOTAL,,,2210.51,,,1724.88,,,219.55,,,250.66
6,12,Statement 3,15,Department of Food and Public Distribution,,TOTAL / Ministry,301730.39,2630.40,304360.79,213929.91,2029.67,215959.58,294274.13,2029.70,296303.83,205363.57,150.37,205513.94
6,12,Statement 3,15,Department of Food and Public Distribution,1,Central Sector Schemes/Projects,301603.35,126.10,301729.45,207192.29,98.81,207291.10,287545.75,96.71,287642.46,197768.57,100.00,197868.57
6,12,Statement 3,15,Department of Food and Public Distribution,2,Centrally Sponsored Schemes,10.01,,10.01,6582.13,,6582.13,6581.43,,6581.43,7424.60,,7424.60
6,12,Statement 3,15,Department of Food and Public Distribution,3,Establishment Expenditure of the Centre,104.21,4.30,108.51,133.07,30.86,163.93,124.47,32.99,157.46,144.39,50.37,194.76
6,12,Statement 3,15,Department of Food and Public Distribution,4,Other Central Sector Expenditure,12.82,2500.00,2512.82,22.42,1900.00,1922.42,22.48,1900.00,1922.48,26.01,,26.01
