page,pdf_page,statement,ministry_department,expenditure_category,category_number,actuals_2020_2021_revenue,actuals_2020_2021_capital,actuals_2020_2021_total,BE_2021_2022_revenue,BE_2021_2022_capital,BE_2021_2022_total,RE_2021_2022_revenue,RE_2021_2022_capital,RE_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total
7,11,Statement 3,Department of Consumer Affairs,Central Sector Schemes/Projects,1,11239.36,33.37,11272.73,2824.45,46.05,2870.5,2328.84,19.41,2348.25,1579.15,19.85,1599.0
7,11,Statement 3,Department of Consumer Affairs,Establishment Expenditure of the Centre,2,92.74,,92.74,103.6,,103.6,105.39,,105.39,125.88,,125.88
7,11,Statement 3,Department of Food and Public Distribution,Total Ministry/Department,,554243.35,1188.35,555431.7,251248.34,2725.96,253974.3,299363.35,2636.65,302000.0,213929.91,2029.67,215959.58
7,11,Statement 3,Department of Food and Public Distribution,Central Sector Schemes/Projects,1,554134.72,184.53,554319.25,251045.96,220.21,251266.17,299223.5,131.1,299354.6,207192.29,98.81,207291.1
8,12,Statement 3,Department of Food and Public Distribution,Centrally Sponsored Schemes,2,2.35,,2.35,70.0,,70.0,9.05,,9.05,6582.13,,6582.13
8,12,Statement 3,Department of Food and Public Distribution,Establishment Expenditure of the Centre,3,97.03,3.82,100.85,117.55,5.75,123.3,114.24,5.55,119.79,133.07,30.86,163.93
8,12,Statement 3,Department of Food and Public Distribution,Other Central Sector Expenditure,4,9.25,1000.0,1009.25,14.83,2500.0,2514.83,16.56,2500.0,2516.56,22.42,1900.0,1922.42
8,12,Statement 3,Ministry of Cooperation,Total Ministry/Department,,,,,,,,,,,889.0,11.0,900.0
8,12,Statement 3,Ministry of Cooperation,Central Sector Schemes/Projects,1,,,,,,,,,,106.0,,106.0
8,12,Statement 3,Ministry of Cooperation,Centrally Sponsored Schemes,2,,,,,,,,,,624.0,,624.0
8,12,Statement 3,Ministry of Cooperation,Establishment Expenditure of the Centre,3,,,,,,,,,,109.0,11.0,120.0
8,12,Statement 3,Ministry of Cooperation,Other Central Sector Expenditure,4,,,,,,,,,,50.0,,50.0
8,12,Statement 3,Ministry of Corporate Affairs,Total Ministry/Department,,619.21,33.37,652.58,661.13,51.0,712.13,619.45,40.3,659.75,692.52,40.5,733.02
8,12,Statement 3,Ministry of Corporate Affairs,Central Sector Schemes/Projects,1,4.53,0.06,4.59,10.5,1.0,11.5,5.16,0.3,5.46,5.68,0.5,6.18
8,12,Statement 3,Ministry of Corporate Affairs,Establishment Expenditure of the Centre,2,539.3,,539.3,565.63,,565.63,540.29,,540.29,582.82,,582.82
8,12,Statement 3,Ministry of Corporate Affairs,Other Central Sector Expenditure,3,75.38,33.31,108.69,85.0,50.0,135.0,74.0,40.0,114.0,104.02,40.0,144.02
8,12,Statement 3,Ministry of Culture,Total Ministry/Department,,2114.97,20.21,2135.18,2609.23,78.76,2687.99,2609.23,55.77,2665.0,2920.89,88.16,3009.05
8,12,Statement 3,Ministry of Culture,Central Sector Schemes/Projects,1,344.67,,344.67,454.2,1.0,455.2,486.33,1.0,487.33,531.55,1.0,532.55
8,12,Statement 3,Ministry of Culture,Establishment Expenditure of the Centre,2,1072.28,20.21,1092.49,1271.9,77.76,1349.66,1221.69,54.77,1276.46,1366.01,87.16,1453.17
8,12,Statement 3,Ministry of Culture,Other Central Sector Expenditure,3,698.02,,698.02,883.13,,883.13,901.21,,901.21,1023.33,,1023.33
8,12,Statement 3,Ministry of Defence (Civil),Total Ministry/Department,,11901.27,5619.99,17521.26,10083.93,5173.41,15257.34,10659.37,6928.04,17587.41,12050.01,8049.99,20100.0
8,12,Statement 3,Ministry of Defence (Civil),Central Sector Schemes/Projects,1,1003.82,3104.28,4108.1,850.0,2500.0,3350.0,895.0,3500.0,4395.0,1055.0,3500.0,4555.0
8,12,Statement 3,Ministry of Defence (Civil),Establishment Expenditure of the Centre,2,9118.29,2503.21,11621.5,9281.93,2650.0,11931.93,10207.99,3236.46,13444.45,11135.07,4246.37,15381.44
8,12,Statement 3,Ministry of Defence (Civil),Other Central Sector Expenditure,3,1779.16,12.5,1791.66,-48.0,23.41,-24.59,-443.62,191.58,-252.04,-140.06,303.62,163.56
8,12,Statement 3,Defence Services (Revenue),Total Ministry/Department,,205788.59,,205788.59,212027.56,,212027.56,229567.23,,229567.23,233000.54,,233000.54
8,12,Statement 3,Defence Services (Revenue),Establishment Expenditure of the Centre,1,205788.59,,205788.59,212027.56,,212027.56,229567.23,,229567.23,233000.54,,233000.54
8,12,Statement 3,Capital Outlay on Defence Services,Total Ministry/Department,,,134304.92,134304.92,,135060.72,135060.72,,138850.9,138850.9,,152369.61,152369.61
8,12,Statement 3,Capital Outlay on Defence Services,Central Sector Schemes/Projects,1,,134304.92,134304.92,,135060.72,135060.72,,138850.9,138850.9,,152369.61,152369.61
8,12,Statement 3,Defence Pensions,Total Ministry/Department,,128065.77,,128065.77,115850.0,,115850.0,116878.0,,116878.0,119696.0,,119696.0
8,12,Statement 3,Defence Pensions,Establishment Expenditure of the Centre,1,128065.77,,128065.77,115850.0,,115850.0,116878.0,,116878.0,119696.0,,119696.0
8,12,Statement 3,Ministry of Development of North Eastern Region,Total Ministry/Department,,1531.31,322.35,1853.66,2031.51,626.49,2658.0,2021.51,636.49,2658.0,2140.04,659.96,2800.0
8,12,Statement 3,Ministry of Development of North Eastern Region,Central Sector Schemes/Projects,1,1516.39,318.35,1834.74,2015.0,622.49,2637.49,1992.34,632.49,2624.83,2115.96,655.96,2771.92
8,12,Statement 3,Ministry of Development of North Eastern Region,Establishment Expenditure of the Centre,2,14.92,,14.92,16.51,,16.51,17.84,,17.84,18.41,,18.41
8,12,Statement 3,Ministry of Development of North Eastern Region,Other Central Sector Expenditure,3,,4.0,4.0,,4.0,4.0,11.33,4.0,15.33,5.67,4.0,9.67
8,12,Statement 3,Ministry of Earth Sciences,Total Ministry/Department,,1204.9,69.64,1274.54,1734.13,163.0,1897.13,2145.54,224.0,2369.54,2203.51,450.0,2653.51
9,13,Statement 3,Ministry of Earth Sciences,Central Sector Schemes/Projects,1,564.49,69.7,634.19,1018.17,163.0,1181.17,897.17,224.0,1121.17,1425.24,450.0,1875.24
9,13,Statement 3,Ministry of Earth Sciences,Establishment Expenditure of the Centre,2,467.26,,467.26,517.96,,517.96,1064.96,,1064.96,579.2,,579.2
9,13,Statement 3,Ministry of Earth Sciences,Other Central Sector Expenditure,3,173.15,-0.06,173.09,198.0,,198.0,183.41,,183.41,199.07,,199.07
9,13,Statement 3,Department of School Education and Literacy,Total Ministry/Department,,51841.64,,51841.64,54873.66,,54873.66,51969.95,,51969.95,63449.37,,63449.37
9,13,Statement 3,Department of School Education and Literacy,Central Sector Schemes/Projects,1,321.96,,321.96,363.5,,363.5,286.2,,286.2,358.26,,358.26
9,13,Statement 3,Department of School Education and Literacy,Centrally Sponsored Schemes,2,41107.42,,41107.42,43285.16,,43285.16,40576.5,,40576.5,50694.11,,50694.11
9,13,Statement 3,Department of School Education and Literacy,Establishment Expenditure of the Centre,3,28.28,,28.28,33.0,,33.0,34.3,,34.3,38.0,,38.0
9,13,Statement 3,Department of School Education and Literacy,Other Central Sector Expenditure,4,10387.96,,10387.96,11192.0,,11192.0,11072.95,,11072.95,12359.0,,12359.0
9,13,Statement 3,Department of School Education and Literacy,Other Grants/Loans/Transfers,5,-3.98,,-3.98,,,,,,,,,
9,13,Statement 3,Department of Higher Education,Total Ministry/Department,,32172.02,205.74,32377.76,38325.15,25.5,38350.65,36016.86,14.71,36031.57,40810.34,18.01,40828.35
9,13,Statement 3,Department of Higher Education,Central Sector Schemes/Projects,1,4308.95,200.0,4508.95,6068.43,1.0,6069.43,4411.43,0.01,4411.44,5412.0,0.01,5412.01
9,13,Statement 3,Department of Higher Education,Centrally Sponsored Schemes,2,159.27,,159.27,3000.0,,3000.0,793.26,,793.26,2042.95,,2042.95
9,13,Statement 3,Department of Higher Education,Establishment Expenditure of the Centre,3,155.43,5.74,161.17,222.94,24.5,247.44,215.88,14.7,230.58,255.38,18.0,273.38
9,13,Statement 3,Department of Higher Education,Other Central Sector Expenditure,4,26926.36,,26926.36,29023.78,,29023.78,30589.99,,30589.99,33100.0,,33100.0
9,13,Statement 3,Department of Higher Education,Other Grants/Loans/Transfers,5,622.01,,622.01,10.0,,10.0,6.3,,6.3,0.01,,0.01
9,13,Statement 3,Ministry of Electronics and Information Technology,Total Ministry/Department,,5045.67,350.63,5396.3,9274.66,446.0,9720.66,9174.25,407.0,9581.25,13911.99,388.01,14300.0
9,13,Statement 3,Ministry of Electronics and Information Technology,Central Sector Schemes/Projects,1,2970.54,60.0,3030.54,6776.33,30.0,6806.33,6388.0,,6388.0,10676.17,0.01,10676.18
9,13,Statement 3,Ministry of Electronics and Information Technology,Establishment Expenditure of the Centre,2,1308.03,290.63,1598.66,1438.33,416.0,1854.33,1433.28,407.0,1840.28,1515.82,388.0,1903.82
9,13,Statement 3,Ministry of Electronics and Information Technology,Other Central Sector Expenditure,3,767.1,,767.1,1060.0,,1060.0,1352.97,,1352.97,1720.0,,1720.0
