page,statement,row_label,actuals_2018_19_revenue,actuals_2018_19_capital,actuals_2018_19_total,be_2019_20_revenue,be_2019_20_capital,be_2019_20_total,re_2019_20_revenue,re_2019_20_capital,re_2019_20_total,be_2020_21_revenue,be_2020_21_capital,be_2020_21_total,fiscal_year,data_source,actuals_2019_20_revenue,actuals_2019_20_capital,actuals_2019_20_total,re_2020_21_revenue,re_2020_21_capital,re_2020_21_total,be_2021_22_revenue,be_2021_22_capital,be_2021_22_total,pdf_page,ministry_department,expenditure_category,category_number,actuals_2020_2021_revenue,actuals_2020_2021_capital,actuals_2020_2021_total,be_2021_2022_revenue,be_2021_2022_capital,be_2021_2022_total,re_2021_2022_revenue,re_2021_2022_capital,re_2021_2022_total,be_2022_2023_revenue,be_2022_2023_capital,be_2022_2023_total,demand_no,actuals_2021_2022_revenue,actuals_2021_2022_capital,actuals_2021_2022_total,re_2022_2023_revenue,re_2022_2023_capital,re_2022_2023_total,be_2023_2024_revenue,be_2023_2024_capital,be_2023_2024_total,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,be_2023_24_revenue,be_2023_24_capital,be_2023_24_total,re_2023_24_revenue,re_2023_24_capital,re_2023_24_total,be_2024_25_revenue,be_2024_25_capital,be_2024_25_total
8,Statement 3,2.   Establishment Expenditure of the Centre,18.0,0.0,18.0,19.58,0.0,19.58,18.08,0.0,18.08,19.99,0.0,19.99,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,3.   Other Central Sector Expenditure,100.48,0.0,100.48,109.42,0.0,109.42,117.45,0.0,117.45,141.05,0.0,141.05,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,6. Department of Fertilisers,70550.31,0.0,70550.31,80034.95,0.05,80035.0,80034.95,0.05,80035.0,71344.95,0.05,71345.0,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,1. Central Sector Schemes/Projects,70604.8,0.0,70604.8,79996.0,0.0,79996.0,79997.85,0.0,79997.85,71309.0,0.0,71309.0,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,2.   Establishment Expenditure of the Centre,35.23,0.0,35.23,38.94,0.0,38.94,37.09,0.0,37.09,35.94,0.0,35.94,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,3.   Other Central Sector Expenditure,-89.72,0.0,-89.72,0.01,0.05,0.06,0.01,0.05,0.06,0.01,0.05,0.06,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,7. Department of Pharmaceuticals,512.51,10.95,523.46,230.45,5.06,235.51,229.15,333.18,562.33,326.4,7.18,333.58,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Statement 3,1. Central Sector Schemes/Projects,181.45,0.0,181.45,204.3,0.0,204.3,185.4,0.0,185.4,281.0,0.0,281.0,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Statement 3,2.   Establishment Expenditure of the Centre,23.83,0.0,23.83,26.15,0.0,26.15,26.15,0.0,26.15,27.4,0.0,27.4,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Statement 3,3.   Other Central Sector Expenditure,307.23,10.95,318.18,0.0,5.06,5.06,17.6,333.18,350.78,18.0,7.18,25.18,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Statement 3,8. Ministry of Civil Aviation,5623.13,3975.87,9599.0,4474.99,25.01,4500.0,3674.99,25.01,3700.0,3771.74,25.97,3797.71,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Statement 3,1. Central Sector Schemes/Projects,5254.47,3975.0,9229.47,4164.1,0.01,4164.11,3323.87,0.01,3323.88,3480.41,0.01,3480.42,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Statement 3,2.   Establishment Expenditure of the Centre,260.35,0.87,261.22,282.69,24.99,307.68,319.31,24.99,344.3,274.51,25.95,300.46,2020-21,Expenditure Profile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
